회원ID,총구매액,최대구매액,환불금액,주구매상품,주구매지점,방문일수,방문당구매건수,주말방문비율,구매주기,성별
0,68282840,11264000,6860000.0,기타,강남점,19,3.894737,0.527027,17,0
1,2136000,2136000,300000.0,스포츠,잠실점,2,1.500000,0.000000,1,0
2,3197000,1639000,NaN,남성캐주얼,관악점,2,2.000000,0.000000,1,1
3,16077620,4935000,NaN,기타,광주점,18,2.444444,0.318182,16,1
4,29050000,24000000,NaN,보석,본점,2,1.500000,0.000000,85,0
5,11379000,9552000,462000.0,디자이너,일산점,3,1.666667,0.200000,42,0
6,10056000,7612000,4582000.0,시티웨어,강남점,5,2.400000,0.333333,42,0
7,514570080,27104000,29524000.0,명품,본점,63,2.634921,0.222892,5,0
8,688243360,173088000,NaN,기타,본점,18,5.944444,0.411215,15,0
9,26640850,13728000,NaN,농산물,대전점,1,12.000000,0.000000,0,1
10,245110760,67275000,22484000.0,디자이너,부산본점,25,2.120000,0.226415,13,0
11,24467500,10575000,NaN,화장품,본점,3,2.000000,0.833333,89,0
12,2895000,2475000,NaN,남성캐주얼,분당점,2,1.000000,0.000000,16,1
13,103217000,14616000,13173720.0,시티웨어,분당점,27,2.148148,0.103448,10,0
14,123565660,22500000,7833000.0,농산물,본점,84,3.714286,0.320513,4,0
15,802390550,123488000,87054200.0,기타,본점,152,3.585526,0.177982,2,1
16,359589000,73684240,NaN,골프,본점,26,2.230769,0.362069,13,1
17,114421760,28560000,59424000.0,화장품,본점,23,2.260870,0.230769,14,0
18,43857600,24000000,NaN,구두,본점,2,3.500000,0.714286,10,0
19,3074660,500000,NaN,농산물,일산점,2,9.500000,0.000000,11,1
20,52855460,9711000,NaN,기타,잠실점,11,3.272727,0.027778,26,1
21,208520880,20280000,1524900.0,농산물,부산본점,278,5.471223,0.266272,1,1
22,128221640,17232000,18596800.0,농산물,잠실점,65,3.492308,0.207048,5,0
23,450640,165000,NaN,농산물,분당점,1,6.000000,0.000000,0,0
24,52498250,12201000,3146000.0,가공식품,영등포점,15,2.666667,0.200000,9,0
25,550000,550000,NaN,스포츠,본점,1,1.000000,0.000000,0,1
26,301903130,53050000,21241000.0,기타,본점,53,2.792453,0.493243,6,1
27,217054230,35650000,4440000.0,기타,분당점,82,10.256098,0.416171,4,0
28,139213500,19032000,NaN,기타,영등포점,23,2.478261,0.736842,15,0
29,2156050,630000,NaN,가공식품,잠실점,3,3.666667,0.000000,28,0
30,200934660,12835200,NaN,시티웨어,관악점,27,2.777778,0.266667,12,0
31,355200,259200,NaN,가공식품,분당점,2,2.000000,0.750000,48,1
32,480431110,46440000,4773700.0,기타,미아점,108,4.796296,0.370656,3,1
33,38068520,7935000,13930000.0,기타,강남점,15,2.866667,0.046512,4,0
34,19296840,15900000,15900000.0,수산품,잠실점,8,1.750000,0.142857,33,1
35,190634260,20284000,82168800.0,기타,일산점,122,6.516393,0.276730,2,0
36,16328000,15130000,NaN,시티웨어,분당점,2,2.000000,1.000000,24,0
37,105878600,28900000,22960000.0,기타,대전점,13,2.846154,0.108108,24,1
38,9850000,5750000,NaN,화장품,본점,3,1.000000,0.000000,40,0
39,189885800,29673000,20723000.0,디자이너,부산본점,31,1.548387,0.270833,11,0
40,680977340,43240000,NaN,화장품,본점,41,3.341463,0.656934,8,0
41,10512000,9750000,NaN,수산품,본점,3,1.666667,0.200000,77,1
42,58757280,8668800,NaN,디자이너,강남점,14,2.428571,0.588235,21,0
43,26561200,11875000,NaN,가공식품,분당점,7,2.285714,0.187500,32,1
44,88142300,27764000,250000.0,아동,강남점,20,2.550000,0.352941,16,0
45,6895950,2050000,NaN,기타,본점,21,2.714286,0.175439,14,1
46,3677000,3476000,NaN,차/커피,본점,2,2.500000,0.000000,18,0
47,7273000,2205000,NaN,가공식품,강남점,5,4.200000,0.047619,35,0
48,115107880,12500000,12085000.0,기타,본점,42,4.714286,0.378788,8,0
49,12810920,870870,NaN,농산물,관악점,18,6.444444,0.370690,13,1
50,35338450,8125000,NaN,캐주얼,광주점,12,2.583333,0.290323,30,0
51,13461000,9384000,NaN,스포츠,잠실점,3,1.000000,0.333333,76,0
52,13926390,4050000,NaN,가공식품,본점,25,2.800000,0.585714,12,1
53,4225000,4225000,NaN,화장품,본점,1,1.000000,0.000000,0,1
54,157292300,37113600,8989500.0,농산물,청량리점,96,3.666667,0.301136,3,1
55,125864310,54000000,NaN,가공식품,안양점,23,2.913043,0.283582,15,1
56,133636010,16000000,NaN,기타,본점,19,4.368421,0.168675,16,0
57,438046180,48489000,28371000.0,시티웨어,잠실점,38,1.315789,0.440000,8,0
58,2023500,329000,NaN,가공식품,본점,7,1.142857,0.000000,38,1
59,99215700,34000000,64691600.0,가공식품,잠실점,17,4.294118,0.356164,19,1
60,3151200,2544000,NaN,차/커피,잠실점,2,2.500000,0.000000,85,0
61,1062500,2125000,1062500.0,섬유잡화,영등포점,2,1.000000,0.500000,1,1
62,2178000,2178000,NaN,명품,본점,1,1.000000,0.000000,0,1
63,391890,187000,NaN,농산물,본점,1,7.000000,0.000000,0,1
64,16728810,2875000,NaN,농산물,분당점,12,3.916667,0.276596,26,0
65,125714630,14335000,4013000.0,기타,관악점,28,6.214286,0.856322,12,1
66,139274290,21420000,NaN,기타,부산본점,17,3.294118,0.607143,18,1
67,1062000,1062000,NaN,화장품,본점,1,1.000000,1.000000,0,0
68,611347440,54427200,NaN,화장품,대전점,29,2.620690,0.302632,11,0
69,1416950,1026000,NaN,가공식품,일산점,2,1.500000,0.000000,61,1
70,142850,142850,NaN,육류,청량리점,1,1.000000,0.000000,0,0
71,70633210,13970000,23530000.0,기타,본점,33,3.121212,0.155340,10,0
72,6194090,1656000,NaN,농산물,부평점,6,3.333333,0.000000,49,0
73,169350,72000,NaN,축산가공,안양점,1,7.000000,0.000000,0,0
74,31871970,10750000,12581000.0,농산물,부산본점,18,1.833333,0.212121,19,0
75,2727500,2280000,NaN,차/커피,부평점,2,1.500000,0.000000,78,0
76,14219880,2415000,NaN,젓갈/반찬,본점,12,3.083333,0.378378,20,1
77,8892400,3845600,NaN,시티웨어,잠실점,1,4.000000,1.000000,0,0
78,27071500,12712000,3220000.0,명품,본점,4,2.500000,0.400000,9,0
79,8257780,4370000,NaN,기타,본점,8,3.875000,0.967742,27,0
80,251917560,20250000,9406000.0,가공식품,일산점,38,2.394737,0.263736,9,0
81,20532000,8428000,NaN,구두,잠실점,5,1.800000,0.666667,25,0
82,58591230,21168000,NaN,캐주얼,본점,12,2.250000,1.000000,16,1
83,3322720,1104000,NaN,농산물,분당점,5,3.000000,0.733333,40,1
84,279508490,117760000,117760000.0,골프,분당점,21,2.523810,0.056604,15,0
85,751611990,32620000,41438600.0,아동,대전점,176,3.136364,0.342391,2,1
86,234389170,29760000,7528400.0,화장품,강남점,51,2.745098,0.457143,6,0
87,96643910,17688000,4274000.0,기타,본점,24,3.458333,0.289157,13,0
88,379640600,80000000,NaN,시티웨어,미아점,12,2.416667,0.448276,25,1
89,6072000,6072000,NaN,디자이너,잠실점,1,1.000000,0.000000,0,1
